NO,DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
369212,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 14:15,2018/7/1 14:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,74.0,123.0,0.0,0.0,126.0,74.0,124.0,99.69
375787,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 14:30,2018/7/1 14:45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,85.0,122.0,0.0,0.0,95.0,86.0,122.0,99.67
382368,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 14:45,2018/7/1 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,73.0,110.0,0.0,0.0,140.0,73.0,110.0,100.0
388947,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 15:00,2018/7/1 15:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,58.0,91.0,0.0,0.0,134.0,58.0,91.0,100.0
395520,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 15:15,2018/7/1 15:30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,80.0,107.0,0.0,0.0,115.0,82.0,107.0,99.34
402093,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 15:30,2018/7/1 15:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,66.0,102.0,0.0,0.0,121.0,66.0,102.0,100.0
408663,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 15:45,2018/7/1 16:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,82.0,100.0,0.0,0.0,134.0,83.0,100.0,99.68
415240,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 16:00,2018/7/1 16:15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,71.0,108.0,0.0,0.0,139.0,73.0,109.0,98.75
421812,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 16:15,2018/7/1 16:30,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,83.0,125.0,0.0,0.0,117.0,85.0,125.0,98.78
428383,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 16:30,2018/7/1 16:45,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,67.0,118.0,0.0,0.0,114.0,71.0,118.0,98.68
